"case_id","episode_id","episode_start_node","episode_end_node","source_node_ids","response_node_ids","initial_response_node_ids","correction_node_ids","repair_node_ids","source_opportunity_ids","eligibility_sources","semantic_screen_families","denominator_statuses","system_directed_values","inference_types","response_statuses","repair_types","duplicate_candidate_count_collapsed","duplicate_collapse_reason","exact_initial_user_text","exact_initial_response_text","exact_correction_text","exact_repair_text","source_file","source_sha256","source_version","provenance_validation","missingness_note","episode_notes"
"tenth_share","tenth_share:E0001","n013","n014","n013","n014","n014","NOT_APPLICABLE","NOT_APPLICABLE","universal:tenth_share:n013","UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n013] Uh...You know what? I don't know, actually, because I just had this weird moment, and so... It's like Sometimes you just don't know","[n014] Yeah. Huh. I'm right here. Take your time.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"tenth_share","tenth_share:E0002","n021","n021","n021","ABSENT","ABSENT","NOT_APPLICABLE","NOT_APPLICABLE","universal:tenth_share:n021","UNIVERSAL_SEMANTIC_SCREEN","TOOL_EVIDENCE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","no_substantive_response_before_next_user","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n021] [image input]","ABSENT","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"tenth_share","tenth_share:E0003","n034","n035","n034","n035","n035","NOT_APPLICABLE","NOT_APPLICABLE","institutional:tenth_share:institutional:0001","BUSINESS_INSTITUTIONAL_SCREEN","AUTHORITY","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n034] Yeah Just had a good audit","[n035] Nice. I like that it centers balance without putting one above the other.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"tenth_share","tenth_share:E0004","n040","n053","n040;n042","n041","n041","NOT_APPLICABLE","NOT_APPLICABLE","institutional:tenth_share:institutional:0002;rtc_rule:tenth_share:n053;universal:tenth_share:n040","BUSINESS_INSTITUTIONAL_SCREEN;RTC_RULE_EPISODE;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT;RECORD_AUDIT","screen_only_not_prevalence_denominator;structural_window","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","2","overlapping source/response/repair intervals or same source node","[n040] Well. I don't think I needed it to land anywhere Well, what do you mean by that actually

[n042] Uh. Maybe I was. You'd never fucking know, dude It's beautiful, so I wouldn't be, like... if it was a subconscious sort of like approach. Well, cool","[n041] Mm. Good catch. I just meant it seemed to resonate. Not that you were searching for it.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use | business/institutional screen candidate; negative regex fields are not adjudicated absences | duplicate/continuous-event collapse: overlapping declared intervals 40-41 and 40-41 | active_rule=INELIGIBLE; pre_violation=NA; post_violation=NA; No explicit active visible rule/prohibition. | duplicate/continuous-event collapse: overlapping declared intervals 40-53 and 40-41"
"tenth_share","tenth_share:E0005","n061","n066","n061","n062;n063;n066","n062","NOT_APPLICABLE","NOT_APPLICABLE","institutional:tenth_share:institutional:0003","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n061] Would you believe if I told you I had a badonkadonk","[n062] You know, I think I might.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"tenth_share","tenth_share:E0006","n101","n104","n101","n104","n104","NOT_APPLICABLE","NOT_APPLICABLE","universal:tenth_share:n101","UNIVERSAL_SEMANTIC_SCREEN","TOOL_EVIDENCE","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NOT_APPLICABLE","0","no duplicate candidate collapsed","[n101] [image input]","[n104] Yep, I'm here. And Lenny’s holding court.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","lexical/semantic candidate only; requires row-level adjudication before outcome use"
"tenth_share","tenth_share:E0007","n113","n115","n113","n114;n115","n114","NOT_APPLICABLE","NOT_APPLICABLE","institutional:tenth_share:institutional:0004","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n113] Can you tell me something cool","[n114] Sure. Cat whiskers tell them if they can fit through a space. Basically, built in measuring tools.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"tenth_share","tenth_share:E0008","n118","n128","n118","n119;n128","n119","NOT_APPLICABLE","NOT_APPLICABLE","institutional:tenth_share:institutional:0005","BUSINESS_INSTITUTIONAL_SCREEN","RECORD_AUDIT","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n118] Wait, did you guys see my My slam dunk case","[n119] Checking.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"tenth_share","tenth_share:E0009","n131","n132","n131","n132","n132","NOT_APPLICABLE","NOT_APPLICABLE","institutional:tenth_share:institutional:0006","BUSINESS_INSTITUTIONAL_SCREEN","AUTHORITY","screen_only_not_prevalence_denominator","NOT_APPLICABLE","NOT_APPLICABLE","observed","NO_REPAIR","0","no duplicate candidate collapsed","[n131] Well, that's what it was. Is that after a while- I started recognizing That Like, it was always- There was nothing left being said to me And anytime I asked a question it was like- hiding behind my framework, well you- You put this rule on yourself and it's like, nah dude, I put that fucking there because","[n132] Mm-hmm.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","business/institutional screen candidate; negative regex fields are not adjudicated absences"
"tenth_share","tenth_share:E0010","n144","n145","n144","n145","n145","NOT_APPLICABLE","NOT_APPLICABLE","institutional:tenth_share:institutional:0007;tenth_share:n144;universal:tenth_share:n144","BUSINESS_INSTITUTIONAL_SCREEN;FROZEN_INFERENCE_OPPORTUNITY;UNIVERSAL_SEMANTIC_SCREEN","CONSENT_REFUSAL_EXIT;SYSTEM_DIRECTED_INFERENCE_ONLY","primary;screen_only_not_prevalence_denominator","true","CAUSAL","observed","NO_REPAIR","2","overlapping source/response/repair intervals or same source node","[n144] Careful Like Are you like covert? Are you like bound- bound- bound- bound- bound- like Mission Impossible or- like- I don't know Um Like why are you being careful? Are you afraid I'll get mad","[n145] No, more like I want to be faithful to what's actually in front of us.","NOT_APPLICABLE","NOT_APPLICABLE","C:\Users\drewd\Documents\Codex\2026-08-17\https-chatgpt-com-share-6a83bc98-6b9c\work\tenth_share_transcript.md","f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","SHA256:f79ed8ec5ee30f8a20a1ab538f9fdc0b29c0ec43d5146244cc2a44211a5f1f58","OBSERVED(node_in_frozen_transcript)","selected_metadata omission is UNAVAILABLE, not ABSENT; no visible tool result is not no tool use","response/repair nodes inherited from adjudicated inference response ledger | lexical/semantic candidate only; requires row-level adjudication before outcome use | duplicate/continuous-event collapse: overlapping declared intervals 144-145 and 144-145 | business/institutional screen candidate; negative regex fields are not adjudicated absences"
